date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,parval_2_new,lag_median,value_median
2021-11-26,ZA,1,Omicron BA.2,Community,1.086262617741858,2021-11-08,18,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,1,Omicron BA.2,Community,1.086262617741858,2021-11-08,18,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,1,Omicron BA.2,Community,1.0862626177418577,2021-11-08,18,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,1,Omicron BA.2,Community,1.086262617741858,2021-11-08,18,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-28,ZA,10,Omicron BA.2,Community,1.1844369126444092,2021-11-08,20,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-28,ZA,10,Omicron BA.2,Community,1.1844369126444092,2021-11-08,20,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-28,ZA,10,Omicron BA.2,Community,1.1844369126444092,2021-11-08,20,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-28,ZA,10,Omicron BA.2,Community,1.1844369126444092,2021-11-08,20,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,100,Omicron BA.2,Community,1.3040866644804556,2021-11-08,17,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,100,Omicron BA.2,Community,1.3040866644804556,2021-11-08,17,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,100,Omicron BA.2,Community,1.3040866644804556,2021-11-08,17,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,100,Omicron BA.2,Community,1.3040866644804556,2021-11-08,17,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-21,ZA,101,Omicron BA.2,Community,1.2872695768166569,2021-11-08,13,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-21,ZA,101,Omicron BA.2,Community,1.2872695768166569,2021-11-08,13,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-21,ZA,101,Omicron BA.2,Community,1.287269576816657,2021-11-08,13,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-21,ZA,101,Omicron BA.2,Community,1.2872695768166569,2021-11-08,13,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-21,ZA,102,Omicron BA.2,Community,1.0536950666796252,2021-11-08,13,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-21,ZA,102,Omicron BA.2,Community,1.0536950666796252,2021-11-08,13,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-21,ZA,102,Omicron BA.2,Community,1.0536950666796254,2021-11-08,13,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-21,ZA,102,Omicron BA.2,Community,1.0536950666796252,2021-11-08,13,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,103,Omicron BA.2,Community,1.6727813235482285,2021-11-08,17,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,103,Omicron BA.2,Community,1.6727813235482285,2021-11-08,17,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,103,Omicron BA.2,Community,1.6727813235482285,2021-11-08,17,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,103,Omicron BA.2,Community,1.6727813235482285,2021-11-08,17,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,104,Omicron BA.2,Community,1.3211783917786253,2021-11-08,14,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,104,Omicron BA.2,Community,1.3211783917786253,2021-11-08,14,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,104,Omicron BA.2,Community,1.3211783917786255,2021-11-08,14,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,104,Omicron BA.2,Community,1.3211783917786253,2021-11-08,14,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-27,ZA,105,Omicron BA.2,Community,1.1539648815285868,2021-11-08,19,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-27,ZA,105,Omicron BA.2,Community,1.1539648815285868,2021-11-08,19,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-27,ZA,105,Omicron BA.2,Community,1.153964881528587,2021-11-08,19,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-27,ZA,105,Omicron BA.2,Community,1.1539648815285868,2021-11-08,19,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,106,Omicron BA.2,Community,1.1797041667756274,2021-11-08,17,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,106,Omicron BA.2,Community,1.1797041667756274,2021-11-08,17,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,106,Omicron BA.2,Community,1.1797041667756274,2021-11-08,17,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,106,Omicron BA.2,Community,1.1797041667756274,2021-11-08,17,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,107,Omicron BA.2,Community,1.060934711692823,2021-11-08,15,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,107,Omicron BA.2,Community,1.060934711692823,2021-11-08,15,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,107,Omicron BA.2,Community,1.0609347116928232,2021-11-08,15,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,107,Omicron BA.2,Community,1.060934711692823,2021-11-08,15,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-20,ZA,108,Omicron BA.2,Community,1.0859912340709428,2021-11-08,12,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-20,ZA,108,Omicron BA.2,Community,1.0859912340709428,2021-11-08,12,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-20,ZA,108,Omicron BA.2,Community,1.0859912340709432,2021-11-08,12,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-20,ZA,108,Omicron BA.2,Community,1.0859912340709428,2021-11-08,12,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,109,Omicron BA.2,Community,1.3352565028074415,2021-11-08,17,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,109,Omicron BA.2,Community,1.3352565028074415,2021-11-08,17,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,109,Omicron BA.2,Community,1.3352565028074415,2021-11-08,17,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,109,Omicron BA.2,Community,1.3352565028074415,2021-11-08,17,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
