variant,params_1,params_2,parval_1,parval_2,parval_2_new,lag_median,lag_mean
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,0.1%,0.1%,0.001,50,50.2441
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,0.1%,1%,0.01,17,21.0547
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,0.1%,10%,0.1,11,11.9121
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,0.1%,50%,0.5,11,11.9121
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,0.1%,100%,1,11,11.9121
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,0.1%,150%,1.5,11,11.9121
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,0.1%,200%,2,11,11.9121
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,1%,0.1%,0.001,50,50.291
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,1%,1%,0.01,17,21.2109
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,1%,10%,0.1,11,12.0039
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,1%,50%,0.5,11,12.0039
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,1%,100%,1,11,12.0039
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,1%,150%,1.5,11,12.0039
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,1%,200%,2,11,12.0039
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,10%,0.1%,0.001,49,48.9785
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,10%,1%,0.01,20,22.5703
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,10%,10%,0.1,14,12.8066
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,10%,50%,0.5,14,12.8066
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,10%,100%,1,14,12.8066
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,10%,150%,1.5,14,12.8066
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,10%,200%,2,14,12.8066
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,30%,0.1%,0.001,46,45.6328
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,30%,1%,0.01,23,24.6719
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,30%,10%,0.1,15,14.4629
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,30%,50%,0.5,15,14.0703
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,30%,100%,1,15,14.0703
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,30%,150%,1.5,15,14.0703
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,30%,200%,2,15,14.0703
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,50%,0.1%,0.001,44,43.2637
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,50%,1%,0.01,24,25.3691
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,50%,10%,0.1,16,14.7891
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,50%,50%,0.5,15,14.1387
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,50%,100%,1,15,14.1387
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,50%,150%,1.5,15,14.1387
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,50%,200%,2,15,14.1387
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,70%,0.1%,0.001,41,40.8281
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,70%,1%,0.01,23,23.873
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,70%,10%,0.1,15,14.4023
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,70%,50%,0.5,14,13.668
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,70%,100%,1,14,13.668
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,70%,150%,1.5,14,13.668
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,70%,200%,2,14,13.668
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,90%,0.1%,0.001,39,38.9629
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,90%,1%,0.01,22,21.5234
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,90%,10%,0.1,12,13.3906
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,90%,50%,0.5,11,12.9023
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,90%,100%,1,11,12.9023
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,90%,150%,1.5,11,12.9023
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,90%,200%,2,11,12.9023
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,100%,0.1%,0.001,39,38.082
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,100%,1%,0.01,21,20.3496
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,100%,10%,0.1,11,12.9453
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,100%,50%,0.5,11,12.5293
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,100%,100%,1,11,12.5293
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,100%,150%,1.5,11,12.5293
Omicron BA.1,Traveler weight (all regions),Changing diagnostics,100%,200%,2,11,12.5293
