variant,params_1,params_2,parval_1,parval_2,parval_2_new,lag_median,lag_mean
Omicron BA.1,Traveler weight (all regions),Changing sequencing,0.1%,0.1%,0.001,73,74.5675
Omicron BA.1,Traveler weight (all regions),Changing sequencing,0.1%,1%,0.01,62,61.6797
Omicron BA.1,Traveler weight (all regions),Changing sequencing,0.1%,10%,0.1,48,44.418
Omicron BA.1,Traveler weight (all regions),Changing sequencing,0.1%,50%,0.5,16,17.9414
Omicron BA.1,Traveler weight (all regions),Changing sequencing,0.1%,100%,1,11,11.9121
Omicron BA.1,Traveler weight (all regions),Changing sequencing,0.1%,150%,1.5,6,7.7969
Omicron BA.1,Traveler weight (all regions),Changing sequencing,0.1%,200%,2,1,1.2852
Omicron BA.1,Traveler weight (all regions),Changing sequencing,1%,0.1%,0.001,73,74.6301
Omicron BA.1,Traveler weight (all regions),Changing sequencing,1%,1%,0.01,62,61.7285
Omicron BA.1,Traveler weight (all regions),Changing sequencing,1%,10%,0.1,48,44.5234
Omicron BA.1,Traveler weight (all regions),Changing sequencing,1%,50%,0.5,16,18.0449
Omicron BA.1,Traveler weight (all regions),Changing sequencing,1%,100%,1,11,12.0039
Omicron BA.1,Traveler weight (all regions),Changing sequencing,1%,150%,1.5,6,7.877
Omicron BA.1,Traveler weight (all regions),Changing sequencing,1%,200%,2,1,1.4395
Omicron BA.1,Traveler weight (all regions),Changing sequencing,10%,0.1%,0.001,73,75.1663
Omicron BA.1,Traveler weight (all regions),Changing sequencing,10%,1%,0.01,62,62.252
Omicron BA.1,Traveler weight (all regions),Changing sequencing,10%,10%,0.1,49.5,46.252
Omicron BA.1,Traveler weight (all regions),Changing sequencing,10%,50%,0.5,16,19.2988
Omicron BA.1,Traveler weight (all regions),Changing sequencing,10%,100%,1,14,12.8066
Omicron BA.1,Traveler weight (all regions),Changing sequencing,10%,150%,1.5,9,8.9941
Omicron BA.1,Traveler weight (all regions),Changing sequencing,10%,200%,2,4,4.3145
Omicron BA.1,Traveler weight (all regions),Changing sequencing,30%,0.1%,0.001,75,76.6902
Omicron BA.1,Traveler weight (all regions),Changing sequencing,30%,1%,0.01,62,63.2148
Omicron BA.1,Traveler weight (all regions),Changing sequencing,30%,10%,0.1,49,47.8633
Omicron BA.1,Traveler weight (all regions),Changing sequencing,30%,50%,0.5,17,20.6367
Omicron BA.1,Traveler weight (all regions),Changing sequencing,30%,100%,1,15,14.0703
Omicron BA.1,Traveler weight (all regions),Changing sequencing,30%,150%,1.5,10,10.6562
Omicron BA.1,Traveler weight (all regions),Changing sequencing,30%,200%,2,8,8.0684
Omicron BA.1,Traveler weight (all regions),Changing sequencing,50%,0.1%,0.001,77,78.2309
Omicron BA.1,Traveler weight (all regions),Changing sequencing,50%,1%,0.01,62,63.3027
Omicron BA.1,Traveler weight (all regions),Changing sequencing,50%,10%,0.1,46,46.7344
Omicron BA.1,Traveler weight (all regions),Changing sequencing,50%,50%,0.5,20,21.791
Omicron BA.1,Traveler weight (all regions),Changing sequencing,50%,100%,1,15,14.1387
Omicron BA.1,Traveler weight (all regions),Changing sequencing,50%,150%,1.5,11,11.6895
Omicron BA.1,Traveler weight (all regions),Changing sequencing,50%,200%,2,10,10.0176
Omicron BA.1,Traveler weight (all regions),Changing sequencing,70%,0.1%,0.001,79,78.9295
Omicron BA.1,Traveler weight (all regions),Changing sequencing,70%,1%,0.01,62,62.1445
Omicron BA.1,Traveler weight (all regions),Changing sequencing,70%,10%,0.1,44,42.8398
Omicron BA.1,Traveler weight (all regions),Changing sequencing,70%,50%,0.5,22,21.3125
Omicron BA.1,Traveler weight (all regions),Changing sequencing,70%,100%,1,14,13.668
Omicron BA.1,Traveler weight (all regions),Changing sequencing,70%,150%,1.5,11,11.8906
Omicron BA.1,Traveler weight (all regions),Changing sequencing,70%,200%,2,10,10.8281
Omicron BA.1,Traveler weight (all regions),Changing sequencing,90%,0.1%,0.001,77,77.1758
Omicron BA.1,Traveler weight (all regions),Changing sequencing,90%,1%,0.01,60,60.5664
Omicron BA.1,Traveler weight (all regions),Changing sequencing,90%,10%,0.1,40,38.625
Omicron BA.1,Traveler weight (all regions),Changing sequencing,90%,50%,0.5,18,18.3945
Omicron BA.1,Traveler weight (all regions),Changing sequencing,90%,100%,1,11,12.9023
Omicron BA.1,Traveler weight (all regions),Changing sequencing,90%,150%,1.5,10,11.5293
Omicron BA.1,Traveler weight (all regions),Changing sequencing,90%,200%,2,10,10.4316
Omicron BA.1,Traveler weight (all regions),Changing sequencing,100%,0.1%,0.001,75,76.3379
Omicron BA.1,Traveler weight (all regions),Changing sequencing,100%,1%,0.01,58,59.8672
Omicron BA.1,Traveler weight (all regions),Changing sequencing,100%,10%,0.1,39,36.6543
Omicron BA.1,Traveler weight (all regions),Changing sequencing,100%,50%,0.5,16,17.1152
Omicron BA.1,Traveler weight (all regions),Changing sequencing,100%,100%,1,11,12.5293
Omicron BA.1,Traveler weight (all regions),Changing sequencing,100%,150%,1.5,10,11.1992
Omicron BA.1,Traveler weight (all regions),Changing sequencing,100%,200%,2,10,10.1211
