date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,parval_2_new,lag_median,value_median
2021-09-22,ZA,1,Omicron BA.1,Community,1.0056528349290308,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-24,ZA,1,Omicron BA.1,Community,1.1273031733748682,2021-09-21,3,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,10,Omicron BA.1,Community,1.1355705822097755,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,10,Omicron BA.1,Community,1.125340216604282,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,100,Omicron BA.1,Community,1.0181252177358937,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,100,Omicron BA.1,Community,1.008952918477012,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,101,Omicron BA.1,Community,1.080786023062922,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,101,Omicron BA.1,Community,1.0710492120443376,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,102,Omicron BA.1,Community,1.0331323470208185,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,102,Omicron BA.1,Community,1.0238248483990091,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,103,Omicron BA.1,Community,1.0459026470940265,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,103,Omicron BA.1,Community,1.0364801007238105,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-24,ZA,104,Omicron BA.1,Community,1.1127469314229839,2021-09-21,3,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-24,ZA,104,Omicron BA.1,Community,1.1027221842930466,2021-09-21,3,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,105,Omicron BA.1,Community,1.0380626613523447,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,105,Omicron BA.1,Community,1.028710745484306,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,106,Omicron BA.1,Community,1.010875943026549,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,106,Omicron BA.1,Community,1.0017689525488327,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,107,Omicron BA.1,Community,1.0483687936295933,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,107,Omicron BA.1,Community,1.038924029723021,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,108,Omicron BA.1,Community,1.0629706335966087,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,108,Omicron BA.1,Community,1.0533943215822246,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,109,Omicron BA.1,Community,1.0858860929849605,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,109,Omicron BA.1,Community,1.0761033353905014,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,11,Omicron BA.1,Community,1.0806278664320903,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,11,Omicron BA.1,Community,1.0708924802480178,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,110,Omicron BA.1,Community,1.0605721742334075,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,110,Omicron BA.1,Community,1.0510174699610346,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,111,Omicron BA.1,Community,1.123225541762023,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,111,Omicron BA.1,Community,1.1131063927371396,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,112,Omicron BA.1,Community,1.068118194964109,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,112,Omicron BA.1,Community,1.0584955085229912,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,113,Omicron BA.1,Community,1.000656681762828,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-25,ZA,113,Omicron BA.1,Community,1.106009140501165,2021-09-21,4,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-24,ZA,114,Omicron BA.1,Community,1.0719213559150336,2021-09-21,3,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-24,ZA,114,Omicron BA.1,Community,1.062264406762646,2021-09-21,3,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,115,Omicron BA.1,Community,1.065674937790893,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,115,Omicron BA.1,Community,1.0560742626756596,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,116,Omicron BA.1,Community,1.122774116761984,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,116,Omicron BA.1,Community,1.112659034628993,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,117,Omicron BA.1,Community,1.0582969336583814,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,117,Omicron BA.1,Community,1.0487627270488464,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,118,Omicron BA.1,Community,1.0507537049334468,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,118,Omicron BA.1,Community,1.0412874553394518,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,119,Omicron BA.1,Community,1.0934504824542322,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,119,Omicron BA.1,Community,1.0835995772068967,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,12,Omicron BA.1,Community,1.133237212803521,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,12,Omicron BA.1,Community,1.12302786854403,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,120,Omicron BA.1,Community,1.0783051132172823,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-22,ZA,120,Omicron BA.1,Community,1.068590652737847,2021-09-21,1,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-24,ZA,121,Omicron BA.1,Community,1.1274280832132555,2021-09-21,3,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
2021-09-24,ZA,121,Omicron BA.1,Community,1.1172710734545777,2021-09-21,3,Traveler weight (all regions),Changing sequencing,1%,200%,fig_3d,2,1,1.0584
2021-09-22,ZA,122,Omicron BA.1,Community,1.0532570729245592,2021-09-21,1,Traveler weight (all regions),Changing sequencing,0.1%,200%,fig_3d,2,1,1.0629
