date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,parval_2_new,lag_median,value_median
2021-09-26,ZA,1,Omicron BA.1,Community,1.0651354460865647,2021-09-21,5,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,fig_3e,P7-R^0,10,1.092
2021-09-26,ZA,1,Omicron BA.1,Community,1.0651354460865647,2021-09-21,5,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,fig_3e,P11-R^0,10,1.0899
2021-09-26,ZA,1,Omicron BA.1,Community,1.0651354460865647,2021-09-21,5,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,fig_3e,P7-R^0,10,1.0883
2021-09-26,ZA,1,Omicron BA.1,Community,1.0651354460865647,2021-09-21,5,Traveler weight (travel hubs),Strategies (per capita),70%,P11-R,fig_3e,P11-R^0,10,1.0862
2021-09-26,ZA,1,Omicron BA.1,Community,1.0651354460865647,2021-09-21,5,Traveler weight (travel hubs),Strategies (per capita),90%,P7-R,fig_3e,P7-R^0,10,1.0853
2021-09-26,ZA,1,Omicron BA.1,Community,1.0651354460865647,2021-09-21,5,Traveler weight (travel hubs),Strategies (per capita),90%,P11-R,fig_3e,P11-R^0,10,1.0844
2021-09-26,ZA,1,Omicron BA.1,Community,1.0651354460865647,2021-09-21,5,Traveler weight (travel hubs),Strategies (per capita),100%,P7-R,fig_3e,P7-R^0,10,1.0849
2021-09-26,ZA,1,Omicron BA.1,Community,1.0651354460865647,2021-09-21,5,Traveler weight (travel hubs),Strategies (per capita),100%,P11-R,fig_3e,P11-R^0,10,1.0815
2021-10-05,ZA,10,Omicron BA.1,Community,1.1199537453061368,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,fig_3e,P7-R^0,10,1.092
2021-10-05,ZA,10,Omicron BA.1,Community,1.1199537453061368,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,fig_3e,P11-R^0,10,1.0899
2021-10-05,ZA,10,Omicron BA.1,Community,1.1199537453061368,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,fig_3e,P7-R^0,10,1.0883
2021-10-05,ZA,10,Omicron BA.1,Community,1.1199537453061368,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),70%,P11-R,fig_3e,P11-R^0,10,1.0862
2021-10-05,ZA,10,Omicron BA.1,Community,1.1199537453061368,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),90%,P7-R,fig_3e,P7-R^0,10,1.0853
2021-10-05,ZA,10,Omicron BA.1,Community,1.1199537453061368,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),90%,P11-R,fig_3e,P11-R^0,10,1.0844
2021-10-05,ZA,10,Omicron BA.1,Community,1.1199537453061368,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),100%,P7-R,fig_3e,P7-R^0,10,1.0849
2021-10-05,ZA,10,Omicron BA.1,Community,1.1199537453061368,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),100%,P11-R,fig_3e,P11-R^0,10,1.0815
2021-10-05,ZA,100,Omicron BA.1,Community,1.0196110687035638,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,fig_3e,P7-R^0,10,1.092
2021-10-05,ZA,100,Omicron BA.1,Community,1.0196110687035638,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,fig_3e,P11-R^0,10,1.0899
2021-10-05,ZA,100,Omicron BA.1,Community,1.0196110687035638,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,fig_3e,P7-R^0,10,1.0883
2021-10-05,ZA,100,Omicron BA.1,Community,1.0196110687035638,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),70%,P11-R,fig_3e,P11-R^0,10,1.0862
2021-10-05,ZA,100,Omicron BA.1,Community,1.0196110687035638,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),90%,P7-R,fig_3e,P7-R^0,10,1.0853
2021-10-05,ZA,100,Omicron BA.1,Community,1.0196110687035638,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),90%,P11-R,fig_3e,P11-R^0,10,1.0844
2021-10-05,ZA,100,Omicron BA.1,Community,1.0196110687035638,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),100%,P7-R,fig_3e,P7-R^0,10,1.0849
2021-10-05,ZA,100,Omicron BA.1,Community,1.0196110687035638,2021-09-21,14,Traveler weight (travel hubs),Strategies (per capita),100%,P11-R,fig_3e,P11-R^0,10,1.0815
2021-09-29,ZA,101,Omicron BA.1,Community,1.0212438185040476,2021-09-21,8,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,fig_3e,P7-R^0,10,1.092
2021-09-29,ZA,101,Omicron BA.1,Community,1.0212438185040476,2021-09-21,8,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,fig_3e,P11-R^0,10,1.0899
2021-09-29,ZA,101,Omicron BA.1,Community,1.0212438185040476,2021-09-21,8,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,fig_3e,P7-R^0,10,1.0883
2021-09-29,ZA,101,Omicron BA.1,Community,1.0212438185040476,2021-09-21,8,Traveler weight (travel hubs),Strategies (per capita),70%,P11-R,fig_3e,P11-R^0,10,1.0862
2021-09-29,ZA,101,Omicron BA.1,Community,1.0212438185040476,2021-09-21,8,Traveler weight (travel hubs),Strategies (per capita),90%,P7-R,fig_3e,P7-R^0,10,1.0853
2021-09-29,ZA,101,Omicron BA.1,Community,1.0212438185040476,2021-09-21,8,Traveler weight (travel hubs),Strategies (per capita),90%,P11-R,fig_3e,P11-R^0,10,1.0844
2021-09-29,ZA,101,Omicron BA.1,Community,1.0212438185040476,2021-09-21,8,Traveler weight (travel hubs),Strategies (per capita),100%,P7-R,fig_3e,P7-R^0,10,1.0849
2021-09-29,ZA,101,Omicron BA.1,Community,1.0212438185040476,2021-09-21,8,Traveler weight (travel hubs),Strategies (per capita),100%,P11-R,fig_3e,P11-R^0,10,1.0815
2021-10-01,ZA,102,Omicron BA.1,Community,2.046450307353465,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,fig_3e,P7-R^0,10,1.092
2021-10-01,ZA,102,Omicron BA.1,Community,2.046450307353465,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,fig_3e,P11-R^0,10,1.0899
2021-10-01,ZA,102,Omicron BA.1,Community,2.046450307353465,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,fig_3e,P7-R^0,10,1.0883
2021-10-01,ZA,102,Omicron BA.1,Community,2.046450307353465,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),70%,P11-R,fig_3e,P11-R^0,10,1.0862
2021-10-01,ZA,102,Omicron BA.1,Community,2.046450307353465,2021-09-21,10,Traveler weight (travel hubs),Strategies (per capita),90%,P7-R,fig_3e,P7-R^0,10,1.0853
