variant,params_1,params_2,parval_1,parval_2,parval_2_new,lag_median,lag_mean
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3-R,P3-R^0,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7-R,P7-R^0,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11-R,P11-R^0,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3-H,P3-R^50,21,21.2148
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7-H,P7-R^50,21,21.4414
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11-H,P11-R^50,21,21.7012
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3-M,P3-R^90,25,26.2148
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7-M,P7-R^90,29,27.4883
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11-M,P11-R^90,31,29.0449
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P3-R,P3-R^0,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P7-R,P7-R^0,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P11-R,P11-R^0,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P3-H,P3-R^50,21,21.2129
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P7-H,P7-R^50,21,21.4512
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P11-H,P11-R^50,21,21.709
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P3-M,P3-R^90,25,26.0957
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P7-M,P7-R^90,29,27.4688
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),1%,P11-M,P11-R^90,31,29.0762
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P3-R,P3-R^0,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P7-R,P7-R^0,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P11-R,P11-R^0,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P3-H,P3-R^50,21,21.0898
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P7-H,P7-R^50,21,21.3965
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P11-H,P11-R^50,21,21.6836
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P3-M,P3-R^90,25,25.1465
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P7-M,P7-R^90,29,27.2031
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),10%,P11-M,P11-R^90,30,28.709
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P3-R,P3-R^0,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P7-R,P7-R^0,18,18.6699
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P11-R,P11-R^0,18,17.6836
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P3-H,P3-R^50,21,20.8711
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P7-H,P7-R^50,21,21.2891
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P11-H,P11-R^50,20.5,19.9727
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P3-M,P3-R^90,24,24.4629
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P7-M,P7-R^90,27,26.3613
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),30%,P11-M,P11-R^90,25,24.1172
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P3-R,P3-R^0,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,P7-R^0,18,18.6797
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,P11-R^0,18,17.3164
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P3-H,P3-R^50,21,20.8477
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P7-H,P7-R^50,21,21.1074
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P11-H,P11-R^50,20,19.0645
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P3-M,P3-R^90,24,24.3477
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P7-M,P7-R^90,26,25.5273
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),50%,P11-M,P11-R^90,23,21.7129
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P3-R,P3-R^0,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,P7-R^0,18,18.6699
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P11-R,P11-R^0,17,17.2109
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P3-H,P3-R^50,21,20.8047
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P7-H,P7-R^50,21,20.9512
