code,event,Lineage,pearson_r,mae,rmse
CA,daily_cases,Cases,0.6297298836361006,12770.58888888889,19452.337979447784
GB,daily_cases,Cases,0.709269015479635,98209.00277777777,179842.54701671604
EU_others,daily_cases,Cases,-0.4748609147246147,364542.2,436887.3316028624
DE,daily_cases,Cases,0.8701397974293551,64298.311111111114,111972.23089052035
JP,daily_cases,Cases,0.3473127235587375,32507.00277777778,82000.27813385248
US,daily_cases,Cases,0.8012703335717306,184072.275,289008.68467424554
FR,daily_cases,Cases,0.9015935705519487,137177.89722222224,302394.4799184204
KR,daily_cases,Cases,0.09185666686381914,54438.194444444445,81179.4783061992
AS_others,daily_cases,Cases,0.43532970024672163,191931.23333333334,307051.52078525664
MX,daily_cases,Cases,0.6433498455572476,11300.336111111112,19848.18523977696
NA_others,daily_cases,Cases,0.7102401565666413,7100.497222222222,10884.288718339232
ES,daily_cases,Cases,0.8560610047788032,30267.38888888889,57601.92043789281
HK,daily_cases,Cases,0.9847309468012889,1546.1055555555556,5161.706672162265
TR,daily_cases,Cases,-0.2935358584016163,34576.052777777775,47109.06736554427
AE,daily_cases,Cases,0.9298127038684509,856.1638888888889,1636.3437694886868
IN,daily_cases,Cases,0.47692528392531974,186642.51111111112,403918.01712027873
TN,daily_cases,Cases,0.5332595835335022,3519.7,7537.4340887112685
BR,daily_cases,Cases,0.8851201058798046,33441.47777777778,67441.13030673492
SA_others,daily_cases,Cases,0.8568964652479022,15173.058333333332,26632.774487540097
CL,daily_cases,Cases,0.7489672201253791,7658.180555555556,13144.289477701377
NG,daily_cases,Cases,-0.26177436727700937,958.3944444444444,1575.8696963899013
PG,daily_cases,Cases,0.516678735291295,369.59166666666664,645.0175977358206
MA,daily_cases,Cases,0.5224697574642717,4308.108333333334,9755.37159117706
OC_others,daily_cases,Cases,-0.16988267255172768,537.3083333333333,1028.4217081150234
AF_others,daily_cases,Cases,0.6068921524967963,6746.45,8817.026506204409
AR,daily_cases,Cases,0.2413721959360437,33813.936111111114,63452.14742875794
ZA,daily_cases,Cases,0.8497946110277074,4338.727777777778,8377.750434931802
NZ,daily_cases,Cases,0.9910358332173658,4755.072222222222,15278.317971156963
AU,daily_cases,Cases,0.37057474174309335,59245.325,121766.05901067128
CA,daily_deaths,Deaths,0.7709204731567642,139.7277777777778,209.53118966980654
GB,daily_deaths,Deaths,0.875019208708693,190.93333333333334,334.16601828698526
EU_others,daily_deaths,Deaths,0.8489376930652843,6478.766666666666,8483.669854327325
DE,daily_deaths,Deaths,0.1484382286869839,239.3388888888889,297.65159069698325
JP,daily_deaths,Deaths,0.6015512439013073,486.03333333333336,1487.785530018804
US,daily_deaths,Deaths,0.4325001704105499,1982.213888888889,2376.439165420492
FR,daily_deaths,Deaths,0.7304644529007515,201.93055555555554,345.2269764629899
KR,daily_deaths,Deaths,0.17843741695461005,343.43333333333334,569.4168971656687
AS_others,daily_deaths,Deaths,0.4911789117181628,3334.508333333333,3950.518658107509
MX,daily_deaths,Deaths,0.8403962795680449,581.3083333333333,779.7102301852628
NA_others,daily_deaths,Deaths,0.8065414572437646,192.44166666666666,234.80003608271537
ES,daily_deaths,Deaths,0.37563989394730113,118.31666666666666,159.89022275715715
HK,daily_deaths,Deaths,0.997813404648454,3.0305555555555554,11.036240805233959
TR,daily_deaths,Deaths,-0.2937834574818494,281.53055555555557,343.2733462967636
AE,daily_deaths,Deaths,0.8952380617894967,5.263888888888889,8.732999357481814
IN,daily_deaths,Deaths,0.7022987922051287,6940.908333333334,14135.432758428571
TN,daily_deaths,Deaths,0.7535654385442694,129.98333333333332,260.62814080175184
BR,daily_deaths,Deaths,0.6135087873329946,252.65,343.55745112313053
SA_others,daily_deaths,Deaths,0.7836308604461922,300.81388888888887,401.8014694265482
CL,daily_deaths,Deaths,0.055030962694160815,47.99722222222222,72.26347432985922
NG,daily_deaths,Deaths,0.42044654520688535,1114.5777777777778,2800.9114969753846
PG,daily_deaths,Deaths,0.7473381944199112,267.8333333333333,593.5353073837404
MA,daily_deaths,Deaths,0.6168921418422386,432.2944444444444,989.4456893747237
OC_others,daily_deaths,Deaths,0.238265914288991,43.78888888888889,113.28333455936442
AF_others,daily_deaths,Deaths,0.7798259145500256,1815.3916666666667,2239.2149284589304
AR,daily_deaths,Deaths,0.762091825708251,213.725,490.23858278960006
ZA,daily_deaths,Deaths,0.4497279524882559,162.11666666666667,236.16402609674114
NZ,daily_deaths,Deaths,0.9697773709747617,1.5805555555555555,4.906203556043444
AU,daily_deaths,Deaths,0.7737151511349409,122.47777777777777,261.1586469732314
CA,C_1_all,Delta,0.7441149837695161,792.0527777777778,1244.067962706754
GB,C_1_all,Delta,0.7219356011462235,1476.5944444444444,2678.920801056525
EU_others,C_1_all,Delta,0.8398743056009385,1973.0666666666666,3182.5868086266623
DE,C_1_all,Delta,0.8864680466333204,370.9861111111111,641.4966820300441
JP,C_1_all,Delta,0.7889529987406586,99.24444444444444,132.45081896479329
US,C_1_all,Delta,0.7938757712450157,5304.7555555555555,8654.839483074067
FR,C_1_all,Delta,0.6499218564914447,281.84722222222223,381.2957750297734
KR,C_1_all,Delta,0.713674924170854,717.2666666666667,1051.0433176399322
AS_others,C_1_all,Delta,0.862647714249353,323.7472222222222,489.46915548037003
MX,C_1_all,Delta,0.8301291826283635,75.90555555555555,114.29332390340605
NA_others,C_1_all,Delta,0.8147411272150983,23.283333333333335,38.75865494742217
ES,C_1_all,Delta,0.5700713881316758,283.68888888888887,454.16105195306113
HK,C_1_all,Delta,-0.09443990803871785,8.091666666666667,15.153886556846656
TR,C_1_all,Delta,0.6443892095063961,138.98888888888888,224.3937449613464
AE,C_1_all,Delta,0.7192486743646668,35.21111111111111,62.5827008401239
IN,C_1_all,Delta,0.5879180596496918,599.5916666666667,990.7000365902891
TN,C_1_all,Delta,0.8188314596917053,5.6305555555555555,12.364543842958561
BR,C_1_all,Delta,0.9210916659341525,104.47777777777777,161.3085466496497
SA_others,C_1_all,Delta,0.7726903054037303,74.84444444444445,135.22203962372407
CL,C_1_all,Delta,0.3149044728475114,61.236111111111114,97.18523979151017
NG,C_1_all,Delta,0.26482556351006104,13.830555555555556,28.908115930767032
PG,C_1_all,Delta,0.6687546220852095,8.691666666666666,14.820172063778477
MA,C_1_all,Delta,0.4531416813342536,5.6305555555555555,9.837640299719576
OC_others,C_1_all,Delta,NA,0.044444444444444446,0.21081851067789195
AF_others,C_1_all,Delta,0.8852313567292912,10.933333333333334,16.170360402772584
AR,C_1_all,Delta,0.48214545474061943,16.180555555555557,21.396748195306063
ZA,C_1_all,Delta,0.9524889522607105,3.172222222222222,5.716933910177144
NZ,C_1_all,Delta,0.4172453978141128,18.42222222222222,25.273119228847783
AU,C_1_all,Delta,0.6252332624665012,199.8138888888889,304.416265169915
CA,C_2_all,Omicron_BA_one,0.584677953548952,535.9694444444444,978.7330692447932
GB,C_2_all,Omicron_BA_one,0.7845274027414759,5457.308333333333,11672.093711129502
EU_others,C_2_all,Omicron_BA_one,0.5533933296006931,1579.825,3054.7602599604006
DE,C_2_all,Omicron_BA_one,0.89893458103169,964.5305555555556,1420.116986084832
JP,C_2_all,Omicron_BA_one,0.49396616741598287,220.59166666666667,490.66319490393136
US,C_2_all,Omicron_BA_one,0.7805309727170958,2923.6055555555554,4924.499275448103
FR,C_2_all,Omicron_BA_one,0.8138029074307533,1324.1833333333334,2604.022898431493
KR,C_2_all,Omicron_BA_one,0.7185997986536354,207.31944444444446,349.9509707722561
AS_others,C_2_all,Omicron_BA_one,0.867492437779861,379.88055555555553,826.3889141923432
MX,C_2_all,Omicron_BA_one,0.6361373582173431,63.50833333333333,116.46588079299829
NA_others,C_2_all,Omicron_BA_one,0.5588125868592251,22.344444444444445,41.30835939075232
ES,C_2_all,Omicron_BA_one,0.880258119769416,656.6805555555555,1209.3051212944104
HK,C_2_all,Omicron_BA_one,0.5893428064210435,75.23055555555555,146.22390080512372
TR,C_2_all,Omicron_BA_one,0.5599627977244349,115.66388888888889,189.9731011661037
AE,C_2_all,Omicron_BA_one,-0.053436345491754696,39.96388888888889,75.18788503180254
IN,C_2_all,Omicron_BA_one,-0.10268846638813874,635.3083333333333,1628.36442353465
TN,C_2_all,Omicron_BA_one,0.2328463434595541,0.5666666666666667,1.4102797200870787
BR,C_2_all,Omicron_BA_one,0.7505858217486254,161.01111111111112,293.26382699238957
SA_others,C_2_all,Omicron_BA_one,0.6608660380475987,38.25555555555555,63.148436243504875
CL,C_2_all,Omicron_BA_one,0.2314830762484833,34.708333333333336,57.630130526005615
NG,C_2_all,Omicron_BA_one,0.04124883605007036,5.830555555555556,13.33526027742491
PG,C_2_all,Omicron_BA_one,NA,0,0
MA,C_2_all,Omicron_BA_one,0.5479848185056465,2.7805555555555554,5.442247289085232
OC_others,C_2_all,Omicron_BA_one,NA,0.23333333333333334,0.5676462121975467
AF_others,C_2_all,Omicron_BA_one,0.5621910119667842,33.24722222222222,60.580857354264786
AR,C_2_all,Omicron_BA_one,0.5334273833263387,55.15833333333333,113.09874618619293
ZA,C_2_all,Omicron_BA_one,0.7970378585273201,25.21388888888889,42.64262017694921
NZ,C_2_all,Omicron_BA_one,0.7514750649864599,54.66111111111111,87.26772344661889
AU,C_2_all,Omicron_BA_one,0.49630861970718293,508.7361111111111,961.1881818006989
CA,C_3_all,Omicron_BA_two,0.4660109003868227,35.31666666666667,66.87355398228975
GB,C_3_all,Omicron_BA_two,0.012776964485593534,1622.0333333333333,2989.793781443054
EU_others,C_3_all,Omicron_BA_two,0.9627324161955083,84.05833333333334,172.3501402184905
DE,C_3_all,Omicron_BA_two,0.8596173936382266,460.975,1031.1103999788018
JP,C_3_all,Omicron_BA_two,0.9277550601474933,237.46944444444443,801.8454054034772
US,C_3_all,Omicron_BA_two,0.17245768234049827,311.14722222222224,650.6319887019253
FR,C_3_all,Omicron_BA_two,0.16662119309942194,320.4138888888889,631.4817968257059
KR,C_3_all,Omicron_BA_two,0.9760253960866188,32.125,66.48875218160337
AS_others,C_3_all,Omicron_BA_two,0.6480520901133728,83.29166666666667,142.11161986269806
MX,C_3_all,Omicron_BA_two,-0.08390091422589134,3.2444444444444445,7.4502050680203125
NA_others,C_3_all,Omicron_BA_two,0.15415792953899737,6.9222222222222225,13.58195289509003
ES,C_3_all,Omicron_BA_two,0.3326125194441513,107.39722222222223,208.95504234696568
HK,C_3_all,Omicron_BA_two,0.4432703347881783,15.144444444444444,39.02581054749393
TR,C_3_all,Omicron_BA_two,0.7822122366207751,16.48611111111111,29.320949090293027
AE,C_3_all,Omicron_BA_two,NA,14.341666666666667,28.47686682984005
IN,C_3_all,Omicron_BA_two,0.633515441121115,252.55277777777778,525.8926049531829
TN,C_3_all,Omicron_BA_two,0.374628401156588,0.2611111111111111,0.7564537145273478
BR,C_3_all,Omicron_BA_two,0.49814530711821126,7.219444444444444,15.238155691844367
SA_others,C_3_all,Omicron_BA_two,-0.04745708165812994,4.569444444444445,9.968213369394627
CL,C_3_all,Omicron_BA_two,0.43492302965290575,9.069444444444445,17.736614671351465
NG,C_3_all,Omicron_BA_two,NA,0,0
PG,C_3_all,Omicron_BA_two,NA,1.5611111111111111,3.720065710291807
MA,C_3_all,Omicron_BA_two,NA,1.0611111111111111,2.106867079074731
OC_others,C_3_all,Omicron_BA_two,NA,0,0
AF_others,C_3_all,Omicron_BA_two,0.9041482231106577,0.8333333333333334,1.5811388300841898
AR,C_3_all,Omicron_BA_two,NA,6.102777777777778,12.307687299678468
ZA,C_3_all,Omicron_BA_two,0.3098934732039264,22.816666666666666,41.71949983720642
NZ,C_3_all,Omicron_BA_two,0.9389557054284835,13.98611111111111,34.97826706208681
AU,C_3_all,Omicron_BA_two,0.28893437320634974,239.23611111111111,546.3068035555764
CA,C_4_all,Others,0.06134330701840012,1.9472222222222222,3.206980234148976
GB,C_4_all,Others,-0.48288695256761544,35.74444444444445,57.214508649467575
EU_others,C_4_all,Others,-0.7464161322670753,4.883333333333334,7.10516244243109
DE,C_4_all,Others,-0.33981483001125207,2.088888888888889,3.403021533219494
JP,C_4_all,Others,-0.4548546572329466,30.63888888888889,48.192582416799375
US,C_4_all,Others,0.43870919662784147,13.872222222222222,19.31716277763838
FR,C_4_all,Others,-0.31855753230939665,5.575,10.09874854733111
KR,C_4_all,Others,NA,10.866666666666667,17.598611056305298
AS_others,C_4_all,Others,0.4778652966480132,4.6,6.372684764768387
MX,C_4_all,Others,NA,0.08055555555555556,0.2813657169355689
NA_others,C_4_all,Others,0.6773411724581585,3.216666666666667,5.225471802196961
ES,C_4_all,Others,0.27599477079585805,0.15555555555555556,0.39440531887330776
HK,C_4_all,Others,NA,0.03333333333333333,0.18257418583505536
TR,C_4_all,Others,NA,0,0
AE,C_4_all,Others,NA,0,0
IN,C_4_all,Others,0.22114809881553327,1.2722222222222221,1.7904065335994381
TN,C_4_all,Others,NA,0.12777777777777777,0.35746017649212025
BR,C_4_all,Others,0.9695201347886555,1.6055555555555556,2.6404965862924765
SA_others,C_4_all,Others,0.8829461051550993,5.580555555555556,9.3623803953197
